,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
0,25,0,226802,0,7,0,0,0,1,1,0,0,40,0, <=50K.
1,38,0,89814,1,9,1,1,1,0,1,0,0,50,0, <=50K.
2,28,1,336951,2,12,1,13,1,0,1,0,0,40,0, >50K.
3,44,0,160323,3,10,1,0,1,1,1,7688,0,40,0, >50K.
5,34,0,198693,4,6,0,2,2,0,1,0,0,30,0, <=50K.
7,63,2,104626,5,15,1,3,1,0,1,3103,0,32,0, >50K.
8,24,0,369667,3,10,0,2,3,0,0,0,0,40,0, <=50K.
9,55,0,104996,6,4,1,4,1,0,1,0,0,10,0, <=50K.
10,65,0,184454,1,9,1,0,1,0,1,6418,0,40,0, >50K.
11,36,3,212465,7,13,1,5,1,0,1,0,0,40,0, <=50K.
12,26,0,82091,1,9,0,5,2,0,0,0,0,39,0, <=50K.
14,48,0,279724,1,9,1,0,1,0,1,3103,0,48,0, >50K.
15,43,0,346189,8,14,1,6,1,0,1,0,0,50,0, >50K.
16,20,4,444554,3,10,0,2,0,0,1,0,0,25,0, <=50K.
17,43,0,128354,1,9,1,5,4,0,0,0,0,30,0, <=50K.
18,37,0,60548,1,9,2,0,3,0,0,0,0,20,0, <=50K.
20,34,0,107914,7,13,1,7,1,0,1,0,0,47,0, >50K.
21,34,0,238588,3,10,0,2,0,1,0,0,0,35,0, <=50K.
23,25,0,220931,7,13,0,3,2,0,1,0,0,43,1, <=50K.
24,25,0,205947,7,13,1,3,1,0,1,0,0,40,0, <=50K.
25,45,2,432824,1,9,1,4,1,0,1,7298,0,90,0, >50K.
26,22,0,236427,1,9,0,5,0,0,1,0,0,20,0, <=50K.
27,23,0,134446,1,9,3,0,3,1,1,0,0,54,0, <=50K.
28,54,0,99516,1,9,1,4,1,0,1,0,0,35,0, <=50K.
29,32,2,109282,3,10,0,3,2,0,1,0,0,60,0, <=50K.
30,46,4,106444,3,10,1,6,1,1,1,7688,0,38,0, >50K.
31,56,2,186651,0,7,2,2,3,0,0,0,0,50,0, <=50K.
32,24,2,188274,7,13,0,8,2,0,1,0,0,50,0, <=50K.
33,23,1,258120,3,10,1,13,1,0,1,0,0,40,0, <=50K.
34,26,0,43311,1,9,4,6,3,0,0,0,0,40,0, <=50K.
36,36,1,403681,7,13,1,3,1,0,1,0,0,40,0, >50K.
37,22,0,248446,9,3,0,9,2,0,1,0,0,50,2, <=50K.
38,17,0,269430,4,6,0,0,2,0,1,0,0,40,0, <=50K.
39,20,0,257509,1,9,0,4,0,0,1,0,0,40,0, <=50K.
40,65,0,136384,8,14,1,3,1,0,1,0,0,50,0, >50K.
41,44,5,120277,10,11,1,8,1,0,1,0,0,45,0, >50K.
42,36,0,465326,1,9,1,1,1,0,1,0,0,40,0, <=50K.
43,29,0,103634,0,7,1,2,1,0,1,0,0,40,0, <=50K.
44,20,4,138371,3,10,0,1,0,0,1,0,0,32,0, <=50K.
45,28,0,242832,10,11,1,3,4,0,0,0,0,36,0, >50K.
46,39,0,290208,6,4,1,4,1,0,1,0,0,40,3, <=50K.
47,54,0,186272,3,10,1,10,1,0,1,3908,0,50,0, <=50K.
48,52,0,201062,0,7,3,9,2,1,0,0,0,18,0, <=50K.
49,56,5,131916,1,9,2,6,2,0,0,0,0,50,0, <=50K.
50,18,0,54440,3,10,0,2,0,0,1,0,0,20,0, <=50K.
51,39,0,280215,1,9,4,11,0,1,1,0,0,40,0, <=50K.
52,21,0,214399,3,10,0,2,0,0,0,0,1721,24,0, <=50K.
53,22,0,54164,1,9,0,2,2,0,1,14084,0,60,0, >50K.
54,38,0,219446,11,5,5,6,2,0,1,0,0,54,3, <=50K.
55,21,0,110677,3,10,0,5,0,0,0,0,0,40,0, <=50K.
56,63,0,145985,1,9,1,4,1,0,1,0,0,40,0, <=50K.
57,34,1,382078,7,13,1,6,1,0,1,3103,0,50,0, >50K.
58,42,5,170721,1,9,1,6,1,0,1,5178,0,50,0, >50K.
59,33,0,269705,1,9,1,11,1,0,1,0,0,40,0, <=50K.
60,30,0,101135,7,13,0,6,2,0,0,0,0,50,0, <=50K.
61,39,0,118429,3,10,4,8,2,0,1,0,0,40,0, <=50K.
62,26,0,31208,8,14,0,6,2,0,0,0,0,40,0, <=50K.
63,33,0,281384,1,9,0,0,0,0,0,0,0,40,0, <=50K.
64,47,1,171807,1,9,4,5,2,0,0,0,0,40,0, <=50K.
66,41,5,445382,2,12,1,4,1,0,1,15024,0,60,0, >50K.
67,19,0,105460,3,10,0,2,0,0,1,0,0,20,0, <=50K.
68,46,0,170338,1,9,3,10,2,0,1,0,0,40,0, <=50K.
69,43,0,102606,1,9,1,8,1,0,1,0,0,48,0, <=50K.
70,55,0,323887,3,10,1,6,1,0,1,15024,0,45,0, >50K.
71,46,0,175622,10,11,1,7,1,0,1,0,0,40,0, <=50K.
72,30,0,229636,1,9,1,0,1,0,1,0,0,40,3, <=50K.
73,21,0,388946,3,10,3,11,2,0,0,0,0,40,0, <=50K.
74,46,0,269034,3,10,1,4,1,3,1,0,0,40,4, <=50K.
76,41,0,75012,1,9,1,0,1,0,1,0,0,50,0, <=50K.
77,69,5,174379,1,9,1,8,1,0,1,0,0,30,0, <=50K.
78,50,0,312477,1,9,1,10,1,0,1,0,0,40,0, <=50K.
79,20,0,72055,3,10,0,5,2,0,0,0,0,40,0, <=50K.
80,45,5,67001,3,10,1,0,1,0,1,0,0,50,0, <=50K.
81,23,0,213734,7,13,0,6,2,0,1,0,0,40,0, <=50K.
82,24,0,83141,3,10,3,2,2,0,1,0,1876,40,0, <=50K.
84,31,2,113752,3,10,1,4,1,0,1,0,0,50,0, <=50K.
85,43,0,170482,1,9,3,0,2,0,0,0,0,44,0, <=50K.
86,20,3,244689,0,7,0,2,0,0,0,0,0,10,0, <=50K.
87,55,0,160631,1,9,1,8,1,0,1,0,0,56,0, >50K.
88,24,3,228724,3,10,0,12,2,0,1,0,0,40,0, <=50K.
90,59,0,292946,7,13,0,6,2,0,0,0,0,25,0, <=50K.
91,49,3,77443,6,4,0,2,2,1,1,0,0,20,0, <=50K.
92,33,0,176410,8,14,1,3,4,0,0,5178,0,10,0, >50K.
93,59,3,98984,7,13,4,5,2,0,1,0,0,40,0, <=50K.
94,34,0,198751,8,14,0,2,2,4,1,0,0,40,0, <=50K.
95,20,0,479296,1,9,0,11,0,0,1,0,0,40,0, <=50K.
96,25,0,235218,7,13,0,6,0,0,0,0,0,40,0, <=50K.
97,49,0,164877,4,6,1,1,1,0,1,0,0,40,0, <=50K.
98,59,0,272087,1,9,1,10,1,0,1,0,0,40,0, >50K.
99,20,0,169699,1,9,0,5,2,0,0,0,0,40,0, <=50K.
101,33,0,202191,3,10,0,5,3,1,0,0,0,35,0, <=50K.
102,22,0,212261,3,10,0,10,0,1,1,0,0,39,0, <=50K.
103,58,2,301568,11,5,2,2,2,0,0,0,0,40,0, <=50K.
104,52,1,155233,1,9,2,5,3,0,0,0,0,28,0, <=50K.
105,36,0,75826,4,6,3,0,2,0,0,0,0,40,0, <=50K.
106,41,1,201520,1,9,1,13,1,0,1,0,0,40,0, <=50K.
107,28,0,154236,1,9,0,10,0,0,1,2597,0,40,0, <=50K.
108,19,0,289227,3,10,0,11,0,1,1,0,0,16,0, <=50K.
109,18,0,217439,1,9,0,2,2,0,0,0,0,28,0, <=50K.
110,18,0,179020,1,9,0,0,0,0,0,0,0,48,0, <=50K.
111,28,0,149624,3,10,1,4,1,0,1,0,0,40,0, <=50K.
112,29,0,337266,10,11,1,6,1,0,1,0,0,40,0, >50K.
114,40,0,103541,3,10,1,11,1,0,1,0,0,40,0, <=50K.
115,26,0,206721,1,9,0,11,3,0,1,0,0,40,0, <=50K.
116,46,0,96773,1,9,1,4,1,0,1,0,0,40,0, <=50K.
117,23,0,200967,0,7,0,2,2,0,0,0,0,24,0, <=50K.
118,44,0,180019,1,9,5,5,3,0,0,0,0,40,0, <=50K.
119,43,0,179866,7,13,4,8,3,0,0,0,0,40,0, >50K.
120,31,1,198770,7,13,4,3,3,0,0,0,0,60,0, <=50K.
121,18,0,219256,3,10,0,8,0,0,0,0,0,25,0, <=50K.
122,19,0,248730,3,10,0,13,0,0,1,0,0,30,0, <=50K.
123,41,0,110732,3,10,4,7,2,0,0,0,0,40,0, <=50K.
124,41,0,181020,1,9,4,11,3,0,0,0,0,40,0, <=50K.
125,69,0,183791,1,9,4,5,2,0,0,0,0,25,0, <=50K.
126,48,3,42972,12,16,1,3,4,0,0,0,0,40,0, >50K.
127,28,0,134813,1,9,0,3,0,0,1,0,0,40,0, <=50K.
128,27,2,115438,1,9,1,4,1,0,1,0,0,60,5, >50K.
129,41,0,239296,8,14,1,3,1,0,1,0,2415,50,0, >50K.
130,41,0,428420,3,10,1,5,1,0,1,0,0,40,0, <=50K.
131,24,0,247846,1,9,0,4,3,1,0,0,0,40,0, <=50K.
133,42,5,100793,12,16,1,3,1,0,1,0,0,41,0, >50K.
134,57,0,244478,1,9,1,4,1,1,1,0,0,48,0, <=50K.
135,30,0,142921,2,12,0,3,2,0,0,0,0,40,0, <=50K.
136,36,0,182863,1,9,1,8,1,0,1,0,0,60,0, >50K.
137,49,0,171128,6,4,1,0,1,1,1,0,0,40,0, <=50K.
138,33,0,145402,1,9,1,0,4,0,0,0,0,35,0, <=50K.
139,23,0,306309,4,6,1,1,1,0,1,0,0,40,0, <=50K.
